       ROUND ROBIN (q= 2)
P83      164      6      282     504  334     340      118      
P84      166      8      286     564  390     398      120      
P85      168      10     290     594  416     426      122      
P86      170      2      294     296  124     126      124      
P87      172      4      298     422  246     250      126      
P88      174      6      302     514  334     340      128      
P89      176      8      306     570  386     394      130      
P90      178      10     308     596  408     418      130      
P91      180      2      312     314  132     134      132      
P92      182      4      316     436  250     254      134      
P93      184      6      320     522  332     338      136      
P94      186      8      324     574  380     388      138      
P95      188      10     326     598  400     410      138      
P96      190      2      330     332  140     142      140      
P97      192      4      332     450  254     258      140      
P98      194      6      334     532  332     338      140      
P99      196      8      338     580  376     384      142      
P100     198      10     342     600  392     402      144      

Promedios:
Tiempo de espera promedio: 250.16
Tiempo de retorno promedio: 256.16
Tiempo de respuesta promedio: 71.52
